CODGEO,ets_total,ets_local,ets_externe,ets_creation,ent_creation,ets_industrie,ets_effectif50p_p,LIBGEO,AAV2020,LIBAAV2020,CATEAAV2020,DEP,REG,ets_impact,ets_impact_local_p,ets_creation_p,ets_industrie_p,ets_taille50p_p
01001,14.0,9.0,5.0,12,11,0.0,0.0,L'Abergement-Clémenciat,524,Châtillon-sur-Chalaronne,20.0,01,84.0,local,64.3,85.7,0.0,0.0
01002,4.0,2.0,2.0,3,3,0.0,0.0,L'Abergement-de-Varey,000,Commune hors attraction des villes,30.0,01,84.0,équilibré,50.0,75.0,0.0,0.0
01004,586.0,462.0,124.0,192,176,31.0,21.0,Ambérieu-en-Bugey,243,Ambérieu-en-Bugey,11.0,01,84.0,local,78.8,32.8,5.3,3.6
01005,46.0,36.0,10.0,24,23,4.0,0.0,Ambérieux-en-Dombes,002,Lyon,20.0,01,84.0,local,78.3,52.2,8.7,0.0
01006,2.0,1.0,1.0,0,0,0.0,0.0,Ambléon,286,Belley,20.0,01,84.0,équilibré,50.0,0.0,0.0,0.0
01007,68.0,41.0,27.0,31,30,11.0,0.0,Ambronay,243,Ambérieu-en-Bugey,20.0,01,84.0,local,60.3,45.6,16.2,0.0
01008,25.0,22.0,3.0,7,6,0.0,0.0,Ambutrix,243,Ambérieu-en-Bugey,20.0,01,84.0,local,88.0,28.0,0.0,0.0
01009,5.0,3.0,2.0,2,2,1.0,0.0,Andert-et-Condon,286,Belley,20.0,01,84.0,local,60.0,40.0,20.0,0.0
01010,17.0,13.0,4.0,8,8,3.0,1.0,Anglefort,000,Commune hors attraction des villes,30.0,01,84.0,local,76.5,47.1,17.6,5.9
01011,5.0,3.0,2.0,3,3,0.0,0.0,Apremont,168,Oyonnax,20.0,01,84.0,local,60.0,60.0,0.0,0.0
01012,8.0,6.0,2.0,2,2,2.0,0.0,Aranc,572,Plateau d'Hauteville,20.0,01,84.0,local,75.0,25.0,25.0,0.0
01013,3.0,2.0,1.0,1,0,0.0,0.0,Arandas,243,Ambérieu-en-Bugey,20.0,01,84.0,local,66.7,33.3,0.0,0.0
01014,229.0,125.0,104.0,46,34,53.0,14.0,Arbent,168,Oyonnax,20.0,01,84.0,local,54.6,20.1,23.1,6.1
01015,11.0,6.0,5.0,5,3,3.0,0.0,Arboys en Bugey,286,Belley,20.0,01,84.0,local,54.5,45.5,27.3,0.0
01016,7.0,5.0,2.0,5,5,1.0,0.0,Arbigny,084,Mâcon,20.0,01,84.0,local,71.4,71.4,14.3,0.0
01017,12.0,6.0,6.0,1,1,3.0,0.0,Argis,000,Commune hors attraction des villes,30.0,01,84.0,équilibré,50.0,8.3,25.0,0.0
01019,1.0,1.0,0.0,1,1,0.0,0.0,Armix,000,Commune hors attraction des villes,30.0,01,84.0,local,100.0,100.0,0.0,0.0
01021,38.0,30.0,8.0,15,15,1.0,0.0,Ars-sur-Formans,002,Lyon,20.0,01,84.0,local,78.9,39.5,2.6,0.0
01022,47.0,37.0,10.0,9,8,5.0,0.0,Artemare,286,Belley,20.0,01,84.0,local,78.7,19.1,10.6,0.0
01023,3.0,1.0,2.0,0,0,0.0,0.0,Asnières-sur-Saône,084,Mâcon,20.0,01,84.0,externe,33.3,0.0,0.0,0.0
01024,80.0,53.0,27.0,27,24,8.0,5.0,Attignat,080,Bourg-en-Bresse,20.0,01,84.0,local,66.2,33.8,10.0,6.2
01025,60.0,31.0,29.0,24,25,7.0,1.0,Bâgé-Dommartin,084,Mâcon,20.0,01,84.0,local,51.7,40.0,11.7,1.7
01026,34.0,30.0,4.0,4,2,4.0,1.0,Bâgé-le-Châtel,084,Mâcon,20.0,01,84.0,local,88.2,11.8,11.8,2.9
01027,71.0,45.0,26.0,33,27,12.0,3.0,Balan,002,Lyon,20.0,01,84.0,local,63.4,46.5,16.9,4.2
01028,16.0,11.0,5.0,6,6,1.0,0.0,Baneins,000,Commune hors attraction des villes,30.0,01,84.0,local,68.8,37.5,6.2,0.0
01029,21.0,9.0,12.0,8,6,5.0,1.0,Beaupont,080,Bourg-en-Bresse,20.0,01,84.0,externe,42.9,38.1,23.8,4.8
01030,14.0,11.0,3.0,14,13,1.0,0.0,Beauregard,002,Lyon,20.0,01,84.0,local,78.6,100.0,7.1,0.0
01031,161.0,69.0,92.0,37,35,46.0,9.0,Bellignat,168,Oyonnax,12.0,01,84.0,externe,42.9,23.0,28.6,5.6
01032,97.0,55.0,42.0,33,29,23.0,4.0,Béligneux,002,Lyon,20.0,01,84.0,local,56.7,34.0,23.7,4.1
01033,506.0,400.0,106.0,175,150,43.0,15.0,Valserhône,GEN,Genève - Annemasse (partie française),20.0,01,84.0,local,79.1,34.6,8.5,3.0
01034,401.0,315.0,86.0,107,92,38.0,21.0,Belley,286,Belley,11.0,01,84.0,local,78.6,26.7,9.5,5.2
