CODGEO,AAV2020,LIBAAV2020,CATEAAV2020,niveau_vie_median,ets_total,ets_local,ets_externe,ets_impact_local_p,ets_impact,ets_creation,ent_creation,ets_creation_p,ets_industrie,ets_industrie_p,ets_effectif50p_p,ets_taille50p_p
01001,524,Châtillon-sur-Chalaronne,20,24820.0,14.0,9.0,5.0,64.3,local,12.0,11.0,85.7,0.0,0.0,0.0,0.0
01002,000,Commune hors attraction des villes,30,23220.0,4.0,2.0,2.0,50.0,équilibré,3.0,3.0,75.0,0.0,0.0,0.0,0.0
01004,243,Ambérieu-en-Bugey,11,21070.0,586.0,462.0,124.0,78.8,local,192.0,176.0,32.8,31.0,5.3,21.0,3.6
01005,002,Lyon,20,24380.0,46.0,36.0,10.0,78.3,local,24.0,23.0,52.2,4.0,8.7,0.0,0.0
01006,286,Belley,20,24380.0,2.0,1.0,1.0,50.0,équilibré,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01007,243,Ambérieu-en-Bugey,20,24330.0,68.0,41.0,27.0,60.3,local,31.0,30.0,45.6,11.0,16.2,0.0,0.0
01008,243,Ambérieu-en-Bugey,20,26120.0,25.0,22.0,3.0,88.0,local,7.0,6.0,28.0,0.0,0.0,0.0,0.0
01009,286,Belley,20,24410.0,5.0,3.0,2.0,60.0,local,2.0,2.0,40.0,1.0,20.0,0.0,0.0
01010,000,Commune hors attraction des villes,30,24700.0,17.0,13.0,4.0,76.5,local,8.0,8.0,47.1,3.0,17.6,1.0,5.9
01011,168,Oyonnax,20,24690.0,5.0,3.0,2.0,60.0,local,3.0,3.0,60.0,0.0,0.0,0.0,0.0
01012,572,Plateau d'Hauteville,20,22300.0,8.0,6.0,2.0,75.0,local,2.0,2.0,25.0,2.0,25.0,0.0,0.0
01013,243,Ambérieu-en-Bugey,20,22190.0,3.0,2.0,1.0,66.7,local,1.0,0.0,33.3,0.0,0.0,0.0,0.0
01014,168,Oyonnax,20,21670.0,229.0,125.0,104.0,54.6,local,46.0,34.0,20.1,53.0,23.1,14.0,6.1
01015,286,Belley,20,22960.0,11.0,6.0,5.0,54.5,local,5.0,3.0,45.5,3.0,27.3,0.0,0.0
01016,084,Mâcon,20,22280.0,7.0,5.0,2.0,71.4,local,5.0,5.0,71.4,1.0,14.3,0.0,0.0
01017,000,Commune hors attraction des villes,30,20950.0,12.0,6.0,6.0,50.0,équilibré,1.0,1.0,8.3,3.0,25.0,0.0,0.0
01019,000,Commune hors attraction des villes,30,20950.0,1.0,1.0,0.0,100.0,local,1.0,1.0,100.0,0.0,0.0,0.0,0.0
01021,002,Lyon,20,25400.0,38.0,30.0,8.0,78.9,local,15.0,15.0,39.5,1.0,2.6,0.0,0.0
01022,286,Belley,20,20990.0,47.0,37.0,10.0,78.7,local,9.0,8.0,19.1,5.0,10.6,0.0,0.0
01023,084,Mâcon,20,20990.0,3.0,1.0,2.0,33.3,externe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
