CODGEO,AAV2020,LIBAAV2020,CATEAAV2020,ets_total,ets_industrie_p,ets_impact_local_p,ets_taille50p_p,ets_creation_p
01001,524,Châtillon-sur-Chalaronne,20,14.0,0.0,64.3,0.0,85.7
01002,000,Commune hors attraction des villes,30,4.0,0.0,50.0,0.0,75.0
01004,243,Ambérieu-en-Bugey,11,586.0,5.3,78.8,3.6,32.8
01005,002,Lyon,20,46.0,8.7,78.3,0.0,52.2
01006,286,Belley,20,2.0,0.0,50.0,0.0,0.0
01007,243,Ambérieu-en-Bugey,20,68.0,16.2,60.3,0.0,45.6
01008,243,Ambérieu-en-Bugey,20,25.0,0.0,88.0,0.0,28.0
01009,286,Belley,20,5.0,20.0,60.0,0.0,40.0
01010,000,Commune hors attraction des villes,30,17.0,17.6,76.5,5.9,47.1
01011,168,Oyonnax,20,5.0,0.0,60.0,0.0,60.0
01012,572,Plateau d'Hauteville,20,8.0,25.0,75.0,0.0,25.0
01013,243,Ambérieu-en-Bugey,20,3.0,0.0,66.7,0.0,33.3
01014,168,Oyonnax,20,229.0,23.1,54.6,6.1,20.1
01015,286,Belley,20,11.0,27.3,54.5,0.0,45.5
01016,084,Mâcon,20,7.0,14.3,71.4,0.0,71.4
01017,000,Commune hors attraction des villes,30,12.0,25.0,50.0,0.0,8.3
01019,000,Commune hors attraction des villes,30,1.0,0.0,100.0,0.0,100.0
01021,002,Lyon,20,38.0,2.6,78.9,0.0,39.5
01022,286,Belley,20,47.0,10.6,78.7,0.0,19.1
01023,084,Mâcon,20,3.0,0.0,33.3,0.0,0.0
01024,080,Bourg-en-Bresse,20,80.0,10.0,66.2,6.2,33.8
01025,084,Mâcon,20,60.0,11.7,51.7,1.7,40.0
01026,084,Mâcon,20,34.0,11.8,88.2,2.9,11.8
01027,002,Lyon,20,71.0,16.9,63.4,4.2,46.5
01028,000,Commune hors attraction des villes,30,16.0,6.2,68.8,0.0,37.5
01029,080,Bourg-en-Bresse,20,21.0,23.8,42.9,4.8,38.1
01030,002,Lyon,20,14.0,7.1,78.6,0.0,100.0
01031,168,Oyonnax,12,161.0,28.6,42.9,5.6,23.0
01032,002,Lyon,20,97.0,23.7,56.7,4.1,34.0
01033,GEN,Genève - Annemasse (partie française),20,506.0,8.5,79.1,3.0,34.6
01034,286,Belley,11,401.0,9.5,78.6,5.2,26.7
01035,168,Oyonnax,20,7.0,14.3,71.4,0.0,0.0
01036,286,Belley,20,19.0,5.3,63.2,0.0,42.1
01037,000,Commune hors attraction des villes,30,5.0,20.0,80.0,0.0,40.0
01038,080,Bourg-en-Bresse,20,17.0,5.9,58.8,0.0,29.4
01039,652,Culoz,20,11.0,9.1,72.7,0.0,63.6
01040,080,Bourg-en-Bresse,20,5.0,0.0,40.0,0.0,40.0
01041,243,Ambérieu-en-Bugey,20,9.0,0.0,88.9,0.0,55.6
01042,084,Mâcon,20,5.0,0.0,40.0,0.0,80.0
01043,002,Lyon,20,304.0,7.2,64.1,4.6,29.9
01044,GEN,Genève - Annemasse (partie française),20,13.0,7.7,69.2,0.0,38.5
01045,002,Lyon,20,6.0,16.7,66.7,0.0,66.7
01046,000,Commune hors attraction des villes,30,18.0,0.0,66.7,0.0,50.0
01047,002,Lyon,20,66.0,39.4,34.8,6.1,34.8
01049,002,Lyon,20,98.0,13.3,60.2,6.1,42.9
01050,084,Mâcon,20,7.0,14.3,57.1,0.0,14.3
01051,000,Commune hors attraction des villes,30,1.0,0.0,100.0,0.0,300.0
01052,002,Lyon,20,12.0,0.0,50.0,0.0,16.7
01053,080,Bourg-en-Bresse,11,1998.0,5.1,73.6,5.3,32.5
01054,002,Lyon,20,15.0,0.0,73.3,0.0,100.0
01056,000,Commune hors attraction des villes,30,7.0,14.3,0.0,0.0,42.9
01057,084,Mâcon,20,11.0,27.3,45.5,0.0,72.7
01058,000,Commune hors attraction des villes,30,27.0,22.2,51.9,0.0,55.6
