,CODGEO,TP6020
0,01001,
1,01002,
2,01004,17.0
3,01005,
4,01006,
5,01007,7.0
6,01008,
7,01009,
8,01010,
9,01011,
10,01012,
11,01013,
12,01014,10.0
13,01015,
14,01016,
15,01017,
16,01019,
17,01021,
18,01022,
19,01023,
20,01024,
21,01025,6.0
22,01026,
23,01027,
24,01028,
25,01029,
26,01030,
27,01031,19.0
28,01032,9.0
29,01033,16.0
30,01034,18.0
31,01035,
32,01036,
33,01037,
34,01038,
35,01039,
36,01040,
37,01041,
38,01042,
39,01043,5.0
40,01044,
41,01045,
42,01046,
43,01047,
44,01049,
45,01050,
46,01051,
47,01052,
48,01053,22.0
49,01054,
50,01056,
51,01057,
52,01058,
53,01060,
54,01061,
55,01062,
56,01063,
57,01064,
58,01065,
59,01066,
60,01067,
61,01068,
62,01069,
63,01071,8.0
64,01072,7.0
65,01073,
66,01074,11.0
67,01075,
68,01076,
69,01077,
70,01078,
71,01079,
72,01080,
73,01081,
74,01082,
75,01083,
76,01084,
77,01085,
78,01087,
79,01088,
80,01089,
81,01090,
82,01092,
83,01093,10.0
84,01094,
85,01095,
86,01096,
87,01098,
88,01099,
89,01100,
90,01101,
91,01102,
92,01103,
93,01104,
94,01105,
95,01106,
96,01107,
97,01108,
98,01109,10.0
99,01110,
100,01111,
101,01112,
102,01113,
103,01114,
104,01115,
105,01116,
106,01117,
107,01118,
108,01121,
109,01123,
110,01124,
111,01125,
112,01127,
113,01128,
114,01129,
115,01130,
116,01133,
117,01134,
118,01135,13.0
119,01136,
120,01138,12.0
121,01139,
122,01140,
123,01141,
124,01142,7.0
125,01143,8.0
126,01145,
127,01146,
128,01147,
129,01148,
130,01149,
131,01150,
132,01151,
133,01152,
134,01153,
135,01155,
136,01156,
137,01157,
138,01158,
139,01159,6.0
140,01160,23.0
141,01162,
142,01163,
143,01165,
144,01166,
145,01167,
146,01169,
147,01170,
148,01171,
149,01173,10.0
150,01174,
151,01175,
152,01177,
153,01179,
154,01180,
155,01181,
156,01183,
157,01184,
158,01185,11.0
159,01187,
160,01188,
161,01189,
162,01190,
163,01191,
164,01192,9.0
165,01193,
166,01194,11.0
167,01195,
168,01196,
169,01197,
170,01198,
171,01199,11.0
172,01200,
173,01202,9.0
174,01203,
175,01204,
176,01206,
177,01207,
178,01208,
179,01209,
180,01210,
181,01211,
182,01212,
183,01213,
184,01214,
185,01215,
186,01216,
187,01219,
188,01224,8.0
189,01225,
190,01227,
191,01228,
192,01229,
193,01230,
194,01231,
195,01232,
196,01233,
197,01234,
198,01235,
199,01236,
200,01237,
201,01238,
202,01239,
203,01240,
204,01241,
205,01242,
206,01243,
207,01244,9.0
208,01245,
209,01246,
210,01247,
211,01248,
212,01249,9.0
213,01250,
214,01252,
215,01254,
216,01255,
217,01257,
218,01258,
219,01259,
220,01260,
221,01261,
222,01262,13.0
223,01263,
224,01264,
225,01265,16.0
226,01266,10.0
227,01267,
228,01268,
229,01269,28.0
230,01272,
231,01273,
232,01274,
233,01275,
234,01276,
235,01277,
236,01279,
237,01280,
238,01281,15.0
239,01282,
240,01283,27.0
241,01284,
242,01285,
243,01286,
244,01288,
245,01289,8.0
246,01290,
247,01291,
248,01293,
249,01294,
250,01295,
251,01296,
252,01297,
253,01298,
254,01299,
255,01301,
256,01302,
257,01303,
258,01304,13.0
259,01305,15.0
260,01306,
261,01307,
262,01308,
263,01309,
264,01310,
265,01311,
266,01313,13.0
267,01314,
268,01317,
269,01318,
270,01319,
271,01320,6.0
272,01321,
273,01322,5.0
274,01323,
275,01325,
276,01328,
277,01329,
278,01330,
279,01331,
280,01332,
281,01333,
282,01334,
283,01335,
284,01336,
285,01337,
286,01338,
287,01339,
288,01342,
289,01343,
290,01344,8.0
291,01345,
292,01346,
293,01347,
294,01348,9.0
295,01349,
296,01350,
297,01351,
298,01352,
299,01353,
300,01354,17.0
301,01355,
302,01356,
303,01357,
304,01358,
305,01359,
306,01360,
307,01361,
308,01362,
309,01363,
310,01364,
311,01365,
312,01366,
313,01367,
314,01368,
315,01369,
316,01370,
317,01371,
318,01372,
319,01373,
320,01374,
321,01375,
322,01376,11.0
323,01378,
324,01379,
325,01380,
326,01381,
327,01382,
328,01383,
329,01384,21.0
330,01385,
331,01386,
332,01387,
333,01388,
334,01389,
335,01390,
336,01391,
337,01392,
338,01393,
339,01396,
340,01397,
341,01398,
342,01399,
343,01400,
344,01401,
345,01402,
346,01403,
347,01404,
348,01405,
349,01406,
350,01407,
351,01408,
352,01410,
353,01411,
354,01412,
355,01415,
356,01416,
357,01418,
358,01419,13.0
359,01420,
360,01421,
361,01422,
362,01423,
363,01424,
364,01425,
365,01426,
366,01427,11.0
367,01428,
368,01429,
369,01430,
370,01431,
371,01432,
372,01433,
373,01434,
374,01435,11.0
375,01436,
376,01437,
377,01439,
378,01441,
379,01443,7.0
380,01444,
381,01445,
382,01446,
383,01447,
384,01448,
385,01449,
386,01450,
387,01451,8.0
388,01452,
389,01453,
390,01454,
391,01456,
392,01457,13.0
393,02001,
394,02002,
395,02003,
396,02004,
397,02005,
398,02006,
399,02007,
400,02008,
401,02009,
402,02010,
403,02011,
404,02012,
405,02013,
406,02014,
407,02015,
408,02016,
409,02017,
410,02018,15.0
411,02019,
412,02020,
413,02021,
414,02022,
415,02023,
416,02024,
417,02025,
418,02027,
419,02028,11.0
420,02029,
421,02030,
422,02031,
423,02032,
424,02033,
425,02034,
426,02035,
427,02036,
428,02037,
429,02038,
430,02039,
431,02040,
432,02041,
433,02042,
434,02043,
435,02044,
436,02046,
437,02047,
438,02048,
439,02049,
440,02050,
441,02051,
442,02052,
443,02053,
444,02054,
445,02055,
446,02056,
447,02057,
448,02058,
449,02059,28.0
450,02060,
451,02061,
452,02062,
453,02063,
454,02064,17.0
455,02065,
456,02066,
457,02067,
458,02068,
459,02069,
460,02070,
461,02071,
462,02072,
463,02073,
464,02074,
465,02075,
466,02076,
467,02077,
468,02078,
469,02079,
470,02080,
471,02081,
472,02082,
473,02083,
474,02084,
475,02085,
476,02086,
477,02087,
478,02088,
479,02089,
480,02090,
481,02091,
482,02093,
483,02094,
484,02095,37.0
485,02096,
486,02097,
487,02098,
488,02099,
489,02100,
490,02101,
491,02102,
492,02103,
493,02104,
494,02105,
495,02106,
496,02107,
497,02108,
498,02109,
499,02110,21.0
500,02111,
501,02112,
502,02114,
503,02115,
504,02116,
505,02117,
506,02118,
507,02119,
508,02120,
509,02121,
510,02122,
511,02123,
512,02124,
513,02125,
514,02126,
515,02127,
516,02128,
517,02129,
518,02130,
519,02131,
520,02132,
521,02133,
522,02134,
523,02135,
524,02136,
525,02137,
526,02138,
527,02139,
528,02140,
529,02141,
530,02142,
531,02143,
532,02144,
533,02145,
534,02146,
535,02148,
536,02149,
537,02150,
538,02151,
539,02152,
540,02153,
541,02154,
542,02155,
543,02156,
544,02157,
545,02158,
546,02159,
547,02160,
548,02162,
549,02163,17.0
550,02164,
551,02165,
552,02166,
553,02167,
554,02168,24.0
555,02169,
556,02170,
557,02171,
558,02172,
559,02173,27.0
560,02174,
561,02175,
562,02176,
563,02177,
564,02178,
565,02179,
566,02180,
567,02181,
568,02182,
569,02183,
570,02184,
571,02185,
572,02186,
573,02187,
574,02188,
575,02189,
576,02190,
577,02191,
578,02192,
579,02193,
580,02194,
581,02195,
582,02196,
583,02197,
584,02198,
585,02199,
586,02200,
587,02201,
588,02203,
589,02204,
590,02205,
591,02206,
592,02207,
593,02208,
594,02209,
595,02210,
596,02211,
597,02212,
598,02213,
599,02214,
600,02215,
601,02216,
602,02217,
603,02218,
604,02219,
605,02220,
606,02221,
607,02222,
608,02223,
609,02224,
610,02225,
611,02226,
612,02227,
613,02228,
614,02229,
615,02230,
616,02231,
617,02232,
618,02233,
619,02234,
620,02235,
621,02236,
622,02237,
623,02238,
624,02239,
625,02240,
626,02241,
627,02242,
628,02243,16.0
629,02244,
630,02245,
631,02246,
632,02248,
633,02249,
634,02250,
635,02251,
636,02252,
637,02253,
638,02254,
639,02255,
640,02256,
641,02257,
642,02258,
643,02259,
644,02260,
645,02261,
646,02262,
647,02263,
648,02264,
649,02265,
650,02266,
651,02267,
652,02268,
653,02269,
654,02270,
655,02271,
656,02272,
657,02273,
658,02274,
659,02275,
660,02276,
661,02277,
662,02278,
663,02279,
664,02280,
665,02281,
666,02282,
667,02283,
668,02284,
669,02286,
670,02287,
671,02288,
672,02289,
673,02290,9.0
674,02291,
675,02292,
676,02293,
677,02294,
678,02295,
679,02296,
680,02297,
681,02298,
682,02299,
683,02302,
684,02303,
685,02304,36.0
686,02305,22.0
687,02306,
688,02307,
689,02308,
690,02309,
691,02310,
692,02311,
693,02312,
694,02313,
695,02315,
696,02316,
697,02317,
698,02318,
699,02319,
700,02320,
701,02321,
702,02322,
703,02323,
704,02324,
705,02326,
706,02327,
707,02328,
708,02329,
709,02330,
710,02331,
711,02332,
712,02333,
713,02334,20.0
714,02335,
715,02336,
716,02337,
717,02338,
718,02339,
719,02340,16.0
720,02341,
721,02342,
722,02343,
723,02345,
724,02346,
725,02347,
726,02349,
727,02350,
728,02351,
729,02352,
730,02353,
731,02354,
732,02355,
733,02356,
734,02357,
735,02358,
736,02359,
737,02360,9.0
738,02361,28.0
739,02362,
740,02363,
741,02364,
742,02366,
743,02367,
744,02368,
745,02369,
746,02370,
747,02371,
748,02372,
749,02373,
750,02374,
751,02375,
752,02376,
753,02377,
754,02378,
755,02379,
756,02380,
757,02381,33.0
758,02382,
759,02383,
760,02384,
761,02385,
762,02386,
763,02387,
764,02388,
765,02389,
766,02390,
767,02391,
768,02392,
769,02393,
770,02395,
771,02396,
772,02397,
773,02398,
774,02399,
775,02400,
776,02401,
777,02402,
778,02403,
