CODGEO,MED20
01001,24820.0
01002,23220.0
01004,21070.0
01005,24380.0
01006,
01007,24330.0
01008,26120.0
01009,24410.0
01010,24700.0
01011,24690.0
01012,22300.0
01013,22190.0
01014,21670.0
01015,22960.0
01016,22280.0
01017,20950.0
01019,
01021,25400.0
01022,20990.0
01023,
01024,23420.0
01025,23880.0
01026,22100.0
01027,24870.0
01028,23400.0
01029,21260.0
01030,22780.0
01031,20180.0
01032,22610.0
01033,23140.0
01034,20550.0
01035,24930.0
01036,23680.0
01037,21950.0
01038,23550.0
01039,23460.0
01040,23090.0
01041,24040.0
01042,24960.0
01043,28090.0
01044,26950.0
01045,28510.0
01046,23580.0
01047,26330.0
01049,25560.0
01050,22750.0
01051,
01052,26030.0
01053,19640.0
01054,26020.0
01056,21220.0
01057,23350.0
01058,22990.0
01060,23850.0
01061,24550.0
01062,28420.0
01063,24690.0
01064,21930.0
01065,26450.0
01066,
01067,25060.0
01068,21360.0
01069,25040.0
01071,39950.0
01072,25010.0
01073,24710.0
01074,22690.0
01075,24170.0
01076,20880.0
01077,22770.0
01078,42350.0
01079,22020.0
01080,22490.0
01081,25300.0
01082,25710.0
01083,24310.0
01084,23060.0
01085,24560.0
01087,24720.0
01088,27430.0
01089,24490.0
01090,21710.0
01092,25120.0
01093,22690.0
01094,22100.0
01095,22050.0
01096,22570.0
01098,21600.0
01099,25480.0
01100,20380.0
01101,26760.0
01102,23470.0
01103,40150.0
01104,26070.0
01105,28050.0
01106,21560.0
01107,21970.0
01108,22230.0
01109,32850.0
01110,20910.0
01111,20190.0
01112,24260.0
01113,22650.0
01114,30710.0
01115,23080.0
01116,22740.0
01117,22590.0
01118,26030.0
01121,22770.0
01123,24470.0
01124,22850.0
01125,23620.0
01127,23190.0
01128,22100.0
01129,25420.0
01130,23420.0
01133,23530.0
01134,23750.0
01135,39880.0
01136,24400.0
01138,21240.0
01139,20130.0
01140,24220.0
01141,25140.0
01142,24770.0
01143,45020.0
01145,23000.0
01146,23770.0
01147,20910.0
01148,23390.0
01149,26250.0
01150,24150.0
01151,24530.0
01152,27020.0
01153,47940.0
01155,22630.0
01156,25450.0
01157,26310.0
01158,34360.0
01159,23270.0
01160,26970.0
01162,
01163,23180.0
01165,25050.0
01166,26070.0
01167,23960.0
01169,25380.0
01170,23660.0
01171,24860.0
01173,33730.0
01174,24230.0
01175,22530.0
01177,24470.0
01179,24120.0
01180,50060.0
01181,24770.0
01183,25030.0
01184,23410.0
01185,23020.0
01187,22840.0
01188,23640.0
01189,26780.0
01190,
01191,24680.0
01192,22630.0
01193,24780.0
01194,23470.0
01195,25190.0
01196,21750.0
01197,24320.0
01198,24190.0
01199,22110.0
01200,21620.0
01202,23160.0
01203,24040.0
01204,25560.0
01206,24840.0
01207,26500.0
01208,24310.0
01209,29320.0
01210,21370.0
01211,24150.0
01212,21650.0
01213,23790.0
01214,24710.0
01215,24180.0
01216,23110.0
01219,20690.0
01224,23110.0
01225,26840.0
01227,23330.0
01228,24970.0
01229,23680.0
01230,21070.0
01231,24320.0
01232,23330.0
01233,23460.0
01234,24730.0
01235,23000.0
01236,22620.0
01237,22910.0
01238,27610.0
01239,24160.0
01240,24440.0
01241,24700.0
01242,18460.0
01243,26300.0
01244,23970.0
01245,24350.0
01246,23060.0
01247,31340.0
01248,28350.0
01249,25630.0
01250,26020.0
01252,25040.0
01254,26820.0
01255,21790.0
01257,28690.0
01258,26250.0
01259,24430.0
01260,26460.0
01261,27470.0
01262,22820.0
01263,24910.0
01264,23630.0
01265,20160.0
01266,22060.0
01267,24440.0
01268,23840.0
01269,17640.0
01272,22700.0
01273,22380.0
01274,20530.0
01275,30020.0
01276,26630.0
01277,23280.0
01279,
01280,23640.0
01281,35900.0
01282,24460.0
01283,17830.0
01284,22460.0
01285,27830.0
01286,26330.0
01288,39070.0
01289,23570.0
01290,27110.0
01291,23660.0
01293,25900.0
01294,22830.0
01295,24010.0
01296,23950.0
01297,27300.0
01298,30150.0
01299,25120.0
01301,24380.0
01302,25610.0
01303,21710.0
01304,22190.0
01305,20060.0
01306,21100.0
01307,22090.0
01308,39040.0
01309,
01310,23710.0
01311,
01313,40680.0
01314,23900.0
01317,22800.0
01318,27450.0
01319,25040.0
01320,24130.0
01321,26570.0
01322,27960.0
01323,22680.0
01325,25830.0
01328,24360.0
01329,20210.0
01330,22700.0
01331,23580.0
01332,24000.0
01333,26050.0
01334,24000.0
01335,24370.0
01336,23550.0
01337,22680.0
01338,22130.0
01339,30630.0
01342,27970.0
01343,23000.0
01344,24960.0
01345,22670.0
01346,22760.0
01347,27160.0
01348,23020.0
01349,26070.0
01350,23860.0
01351,22740.0
01352,21350.0
01353,26670.0
01354,30150.0
01355,22910.0
01356,24080.0
