CODGEO,LIBGEO,AAV2020,LIBAAV2020,CATEAAV2020,DEP,REG,niveau_vie_median,ets_total,ets_local,ets_externe,ets_impact_local_p,ets_impact,ets_creation,ent_creation,ets_creation_p,ets_industrie,ets_industrie_p,ets_effectif50p_p,ets_taille50p_p
01001,L'Abergement-Clémenciat,524,Châtillon-sur-Chalaronne,20,01,84,24820.0,14.0,9.0,5.0,64.3,local,12,11,85.7,0.0,0.0,0.0,0.0
01002,L'Abergement-de-Varey,000,Commune hors attraction des villes,30,01,84,23220.0,4.0,2.0,2.0,50.0,équilibré,3,3,75.0,0.0,0.0,0.0,0.0
01004,Ambérieu-en-Bugey,243,Ambérieu-en-Bugey,11,01,84,21070.0,586.0,462.0,124.0,78.8,local,192,176,32.8,31.0,5.3,21.0,3.6
01005,Ambérieux-en-Dombes,002,Lyon,20,01,84,24380.0,46.0,36.0,10.0,78.3,local,24,23,52.2,4.0,8.7,0.0,0.0
01006,Ambléon,286,Belley,20,01,84,,2.0,1.0,1.0,50.0,équilibré,0,0,0.0,0.0,0.0,0.0,0.0
01007,Ambronay,243,Ambérieu-en-Bugey,20,01,84,24330.0,68.0,41.0,27.0,60.3,local,31,30,45.6,11.0,16.2,0.0,0.0
01008,Ambutrix,243,Ambérieu-en-Bugey,20,01,84,26120.0,25.0,22.0,3.0,88.0,local,7,6,28.0,0.0,0.0,0.0,0.0
01009,Andert-et-Condon,286,Belley,20,01,84,24410.0,5.0,3.0,2.0,60.0,local,2,2,40.0,1.0,20.0,0.0,0.0
01010,Anglefort,000,Commune hors attraction des villes,30,01,84,24700.0,17.0,13.0,4.0,76.5,local,8,8,47.1,3.0,17.6,1.0,5.9
01011,Apremont,168,Oyonnax,20,01,84,24690.0,5.0,3.0,2.0,60.0,local,3,3,60.0,0.0,0.0,0.0,0.0
01012,Aranc,572,Plateau d'Hauteville,20,01,84,22300.0,8.0,6.0,2.0,75.0,local,2,2,25.0,2.0,25.0,0.0,0.0
01013,Arandas,243,Ambérieu-en-Bugey,20,01,84,22190.0,3.0,2.0,1.0,66.7,local,1,0,33.3,0.0,0.0,0.0,0.0
01014,Arbent,168,Oyonnax,20,01,84,21670.0,229.0,125.0,104.0,54.6,local,46,34,20.1,53.0,23.1,14.0,6.1
01015,Arboys en Bugey,286,Belley,20,01,84,22960.0,11.0,6.0,5.0,54.5,local,5,3,45.5,3.0,27.3,0.0,0.0
01016,Arbigny,084,Mâcon,20,01,84,22280.0,7.0,5.0,2.0,71.4,local,5,5,71.4,1.0,14.3,0.0,0.0
01017,Argis,000,Commune hors attraction des villes,30,01,84,20950.0,12.0,6.0,6.0,50.0,équilibré,1,1,8.3,3.0,25.0,0.0,0.0
01019,Armix,000,Commune hors attraction des villes,30,01,84,,1.0,1.0,0.0,100.0,local,1,1,100.0,0.0,0.0,0.0,0.0
01021,Ars-sur-Formans,002,Lyon,20,01,84,25400.0,38.0,30.0,8.0,78.9,local,15,15,39.5,1.0,2.6,0.0,0.0
01022,Artemare,286,Belley,20,01,84,20990.0,47.0,37.0,10.0,78.7,local,9,8,19.1,5.0,10.6,0.0,0.0
01023,Asnières-sur-Saône,084,Mâcon,20,01,84,,3.0,1.0,2.0,33.3,externe,0,0,0.0,0.0,0.0,0.0,0.0
01024,Attignat,080,Bourg-en-Bresse,20,01,84,23420.0,80.0,53.0,27.0,66.2,local,27,24,33.8,8.0,10.0,5.0,6.2
01025,Bâgé-Dommartin,084,Mâcon,20,01,84,23880.0,60.0,31.0,29.0,51.7,local,24,25,40.0,7.0,11.7,1.0,1.7
01026,Bâgé-le-Châtel,084,Mâcon,20,01,84,22100.0,34.0,30.0,4.0,88.2,local,4,2,11.8,4.0,11.8,1.0,2.9
01027,Balan,002,Lyon,20,01,84,24870.0,71.0,45.0,26.0,63.4,local,33,27,46.5,12.0,16.9,3.0,4.2
