CODGEO,LIBGEO,AAV2020,LIBAAV2020,CATEAAV2020,DEP,REG,ets_total,ets_industrie_p,ets_impact_local_p,ets_taille50p_p,ets_creation_p
01001,L'Abergement-Clémenciat,524,Châtillon-sur-Chalaronne,20,01,84,14.0,0.0,64.3,0.0,85.7
01002,L'Abergement-de-Varey,000,Commune hors attraction des villes,30,01,84,4.0,0.0,50.0,0.0,75.0
01004,Ambérieu-en-Bugey,243,Ambérieu-en-Bugey,11,01,84,586.0,5.3,78.8,3.6,32.8
01005,Ambérieux-en-Dombes,002,Lyon,20,01,84,46.0,8.7,78.3,0.0,52.2
01006,Ambléon,286,Belley,20,01,84,2.0,0.0,50.0,0.0,0.0
01007,Ambronay,243,Ambérieu-en-Bugey,20,01,84,68.0,16.2,60.3,0.0,45.6
01008,Ambutrix,243,Ambérieu-en-Bugey,20,01,84,25.0,0.0,88.0,0.0,28.0
01009,Andert-et-Condon,286,Belley,20,01,84,5.0,20.0,60.0,0.0,40.0
01010,Anglefort,000,Commune hors attraction des villes,30,01,84,17.0,17.6,76.5,5.9,47.1
01011,Apremont,168,Oyonnax,20,01,84,5.0,0.0,60.0,0.0,60.0
01012,Aranc,572,Plateau d'Hauteville,20,01,84,8.0,25.0,75.0,0.0,25.0
01013,Arandas,243,Ambérieu-en-Bugey,20,01,84,3.0,0.0,66.7,0.0,33.3
01014,Arbent,168,Oyonnax,20,01,84,229.0,23.1,54.6,6.1,20.1
01015,Arboys en Bugey,286,Belley,20,01,84,11.0,27.3,54.5,0.0,45.5
01016,Arbigny,084,Mâcon,20,01,84,7.0,14.3,71.4,0.0,71.4
01017,Argis,000,Commune hors attraction des villes,30,01,84,12.0,25.0,50.0,0.0,8.3
01019,Armix,000,Commune hors attraction des villes,30,01,84,1.0,0.0,100.0,0.0,100.0
01021,Ars-sur-Formans,002,Lyon,20,01,84,38.0,2.6,78.9,0.0,39.5
01022,Artemare,286,Belley,20,01,84,47.0,10.6,78.7,0.0,19.1
01023,Asnières-sur-Saône,084,Mâcon,20,01,84,3.0,0.0,33.3,0.0,0.0
01024,Attignat,080,Bourg-en-Bresse,20,01,84,80.0,10.0,66.2,6.2,33.8
01025,Bâgé-Dommartin,084,Mâcon,20,01,84,60.0,11.7,51.7,1.7,40.0
01026,Bâgé-le-Châtel,084,Mâcon,20,01,84,34.0,11.8,88.2,2.9,11.8
01027,Balan,002,Lyon,20,01,84,71.0,16.9,63.4,4.2,46.5
01028,Baneins,000,Commune hors attraction des villes,30,01,84,16.0,6.2,68.8,0.0,37.5
01029,Beaupont,080,Bourg-en-Bresse,20,01,84,21.0,23.8,42.9,4.8,38.1
01030,Beauregard,002,Lyon,20,01,84,14.0,7.1,78.6,0.0,100.0
01031,Bellignat,168,Oyonnax,12,01,84,161.0,28.6,42.9,5.6,23.0
