CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,TP6020,pop_tot
01004,14.77,19.36,42.45,52.76,14.99,17.0,14662
01007,7.61,13.33,84.69,24.29,12.18,7.0,2946
01014,13.98,32.39,65.78,34.89,16.51,10.0,3427
01025,7.14,18.07,95.18,13.92,12.42,6.0,4172
01031,14.99,31.01,35.29,58.31,17.4,19.0,3905
01032,8.57,15.1,72.87,44.83,12.8,9.0,3443
01033,15.37,24.82,40.01,48.28,14.0,16.0,16770
01034,16.42,25.73,44.21,47.5,15.05,18.0,9550
01043,6.72,11.57,80.54,19.69,13.4,5.0,4943
01053,17.93,22.18,22.54,56.68,18.63,22.0,43363
01071,8.8,9.27,53.08,35.71,12.28,8.0,5168
01072,8.58,15.37,78.69,26.09,13.12,7.0,3265
01074,9.29,21.76,67.72,30.62,10.96,11.0,2612
01093,10.69,28.81,54.25,40.95,12.83,10.0,5171
01109,9.75,13.31,67.7,27.9,11.23,10.0,2276
01135,8.59,8.37,73.31,21.58,11.82,13.0,2269
01138,12.74,25.89,56.81,39.37,14.1,12.0,3048
01142,9.55,16.23,68.42,30.04,13.91,7.0,4819
01143,11.07,11.83,35.39,37.72,11.35,8.0,10239
01159,7.41,20.83,84.21,33.08,11.17,6.0,3438
01160,13.58,13.65,9.38,59.64,14.07,23.0,10784
01173,10.55,13.24,28.74,48.75,10.1,10.0,13467
01185,7.86,20.22,58.0,32.44,16.19,11.0,4981
01192,10.41,21.93,70.71,45.86,12.4,9.0,2327
01194,9.69,21.01,56.68,34.88,13.37,11.0,6430
01199,11.04,20.81,77.17,25.3,12.19,11.0,2173
01202,12.56,22.64,59.0,36.87,14.34,9.0,7340
01224,10.81,20.21,76.26,23.63,12.97,8.0,3324
01244,9.85,17.77,54.92,40.76,12.98,9.0,8141
01249,8.91,17.55,49.07,36.0,13.72,9.0,10355
01262,9.99,21.7,45.11,40.4,14.22,13.0,6944
01265,14.0,33.9,45.57,51.27,15.24,16.0,3580
01266,9.84,24.86,64.12,34.06,13.77,10.0,2619
01269,14.81,29.32,21.75,59.07,15.35,28.0,3587
01281,11.38,10.81,48.28,36.97,13.62,15.0,4766
