CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
01001,13.15,16.88,24.92,16.82,7.19,23.5,35.92,34.14,4.81
01002,11.57,28.92,15.11,13.82,6.87,28.05,33.13,34.02,4.79
01004,21.77,19.32,16.92,14.53,7.39,43.85,22.94,22.16,9.82
01005,15.32,20.71,21.72,15.54,6.34,25.0,29.73,37.16,4.73
01006,14.55,13.64,26.36,24.55,9.09,36.36,36.36,18.18,9.09
01007,14.04,22.54,19.07,15.25,6.25,28.94,27.23,32.77,9.36
01008,17.05,20.89,24.28,14.94,4.41,29.49,27.76,32.01,7.69
01009,11.03,16.83,21.92,21.31,11.36,31.72,37.98,20.05,10.25
01010,14.31,21.56,20.2,13.66,6.88,32.6,26.55,32.59,8.26
01011,11.62,19.7,20.72,21.11,4.09,26.74,35.87,37.39,0.0
01012,8.9,17.83,19.92,18.64,13.44,36.52,26.64,26.82,6.68
01013,10.42,17.36,27.08,18.75,7.64,30.77,38.46,30.77,0.0
01014,14.37,18.44,20.74,20.31,6.33,25.51,33.81,32.12,7.82
01015,14.33,16.36,21.64,20.79,10.57,27.75,36.25,29.11,5.18
01016,9.83,22.27,19.87,17.47,7.42,23.68,34.21,39.47,2.63
01017,10.06,21.72,18.03,17.94,8.67,33.98,27.86,30.11,8.05
01019,11.54,11.54,19.23,38.46,7.69,25.0,50.0,25.0,0.0
01021,15.85,21.09,20.76,17.31,4.7,25.64,29.12,37.74,6.55
01022,14.55,16.37,20.74,19.43,10.99,33.03,32.42,24.89,7.92
01023,15.79,17.11,30.26,15.79,2.63,28.57,42.86,28.57,0.0
01024,15.42,20.53,20.75,15.7,6.09,27.54,31.47,33.0,6.06
01025,14.34,20.0,21.92,16.26,5.31,21.63,31.97,39.18,6.27
01026,15.42,19.22,16.65,16.44,11.1,34.48,34.48,21.84,8.05
01027,33.68,19.54,14.91,9.56,2.78,19.28,28.7,42.68,8.63
01028,10.56,20.96,19.52,18.4,5.28,24.0,40.0,34.0,2.0
01029,13.29,20.95,24.07,15.09,7.51,29.24,32.8,24.59,11.44
01030,16.53,21.71,21.47,14.6,5.07,32.88,28.77,27.4,9.59
01031,18.72,19.35,18.23,16.46,6.17,40.22,25.74,23.54,7.5
01032,16.59,22.47,16.98,11.55,5.01,21.41,27.58,39.91,9.46
01033,17.88,20.45,20.15,13.74,6.59,34.82,25.87,27.99,9.23
01034,16.32,17.05,19.58,15.97,10.47,43.96,23.35,20.17,9.22
01035,7.47,21.1,23.7,22.73,6.49,36.67,40.0,23.33,0.0
